"nut","yPlus","k","p","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
4.966914275e-07,51.33417892,0.002053176286,-0.002013288904,513.2893066,-0.0006566550583,-2.949963346e-06,2.150075315e-19,0,0,0,0.1219778955,0,1
4.874781325e-07,50.48746872,0.002041340573,-0.00190690055,511.8836365,-0.0006350579788,-9.219230606e-07,2.18142727e-19,0,0,0,0.1288579702,0,0
4.874781325e-07,50.48746872,0.002041340573,-0.00190690055,511.8836365,-0.0006350579788,-9.219230606e-07,2.18142727e-19,0,0,0,0.1288579702,0,1
4.895394454e-07,50.67680359,0.002027887618,-0.001369587146,510.2840881,-0.0006398474216,2.206147428e-06,0,0,0,0,0.1359494328,0,0
4.895394454e-07,50.67680359,0.002027887618,-0.001369587146,510.2840881,-0.0006398474216,2.206147428e-06,0,0,0,0,0.1359494328,0,1
5.018696925e-07,51.81061935,0.002048448659,-0.0003802641877,512.7724609,-0.0006689514266,4.596293365e-06,-1.545660516e-19,0,0,0,0.1432587653,0,0
5.018696925e-07,51.81061935,0.002048448659,-0.0003802641877,512.7724609,-0.0006689514266,4.596293365e-06,-1.545660516e-19,0,0,0,0.1432587653,0,1
5.188285286e-07,53.37382126,0.002121537458,0.0006943282788,521.4854126,-0.0007099916693,5.543492534e-06,-1.545549234e-19,0,0,0,0.1507926434,0,0
5.188285286e-07,53.37382126,0.002121537458,0.0006943282788,521.4854126,-0.0007099916693,5.543492534e-06,-1.545549234e-19,0,0,0,0.1507926434,0,1
5.36100174e-07,54.97063828,0.002235216321,0.001490609488,534.7677002,-0.0007530921139,5.403573141e-06,1.187332208e-19,0,0,0,0.1585579813,0,0
5.36100174e-07,54.97063828,0.002235216321,0.001490609488,534.7677002,-0.0007530921139,5.403573141e-06,1.187332208e-19,0,0,0,0.1585579813,0,1
5.521910111e-07,56.46268845,0.002369610593,0.001953394385,550.0720215,-0.0007945010439,5.035401955e-06,2.262945951e-20,0,0,0,0.1665619016,0,0
5.521910111e-07,56.46268845,0.002369610593,0.001953394385,550.0720215,-0.0007945010439,5.035401955e-06,2.262945951e-20,0,0,0,0.1665619016,0,1
5.67066138e-07,57.84578323,0.00251082168,0.00219375384,565.713562,-0.0008338773041,4.688924946e-06,-9.609278982e-20,0,0,0,0.1748117059,0,0
5.67066138e-07,57.84578323,0.00251082168,0.00219375384,565.713562,-0.0008338773041,4.688924946e-06,-9.609278982e-20,0,0,0,0.1748117059,0,1
5.813185453e-07,59.17435837,0.002654093085,0.002345622052,581.1508789,-0.000872607925,4.506275673e-06,0,0,0,0,0.1833149791,0,0
5.813185453e-07,59.17435837,0.002654093085,0.002345622052,581.1508789,-0.000872607925,4.506275673e-06,0,0,0,0,0.1833149791,0,1
5.956688938e-07,60.51534653,0.002802350791,0.00247973972,596.6964111,-0.0009126036311,4.504342996e-06,1.230032693e-19,0,0,0,0.1920794845,0,0
5.956688938e-07,60.51534653,0.002802350791,0.00247973972,596.6964111,-0.0009126036311,4.504342996e-06,1.230032693e-19,0,0,0,0.1920794845,0,1
