"nut","yPlus","k","p","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.475785775e-13,0.1822173595,1.440646543e-06,0.001217033016,15925794,-0.001321972231,-1.675695138e-10,-3.280989685e-21,0,0,0,1,1.039999962,1.039999962,0,0
1.469842314e-13,0.1819738597,1.432928116e-06,0.001188556314,15925794,-0.001318439725,-1.637766311e-10,0,0,0,0,1,1.059999943,1.059999943,0,0
1.464097805e-13,0.1817374825,1.425483902e-06,0.001159976819,15925794,-0.001315018162,-1.60258154e-10,0,0,0,0,1,1.080000043,1.080000043,0,0
1.458381891e-13,0.1815021485,1.418078682e-06,0.001131443889,15925794,-0.001311612548,-1.567788677e-10,0,0,0,0,1,1.100000024,1.100000024,0,0
1.452904772e-13,0.1812755167,1.411000198e-06,0.001103300601,15925794,-0.001308341045,-1.536285543e-10,0,0,0,0,1,1.120000005,1.120000005,0,0
1.447427654e-13,0.1810488999,1.403921601e-06,0.001075157314,15925794,-0.001305069542,-1.50478241e-10,0,0,0,0,1,1.139999986,1.139999986,0,0
1.442185943e-13,0.1808308959,1.397164056e-06,0.001047649188,15925794,-0.001301930519,-1.474713685e-10,0,0,0,0,1,1.159999967,1.159999967,0,0
1.436954397e-13,0.1806132793,1.390420266e-06,0.001020168536,15925794,-0.0012987972,-1.444706993e-10,0,0,0,0,1,1.179999948,1.179999948,0,0
1.4319176e-13,0.1804029047,1.383940912e-06,0.0009928728687,15925794,-0.00129577436,-1.415736417e-10,0,0,0,0,1,1.200000048,1.200000048,0,0
1.426926475e-13,0.180194214,1.377523404e-06,0.0009656206821,15925794,-0.001292777364,-1.387008147e-10,0,0,0,0,1,1.220000029,1.220000029,0,0
1.422082938e-13,0.1799910367,1.37130553e-06,0.0009384603472,15925794,-0.001289864304,-1.35984432e-10,0,0,0,0,1,1.24000001,1.24000001,0,0
1.417314481e-13,0.1797906756,1.365189291e-06,0.0009113468113,15925794,-0.001286993851,-1.33347694e-10,0,0,0,0,1,1.25999999,1.25999999,0,0
1.412649837e-13,0.1795942038,1.359213115e-06,0.0008844905533,15925794,-0.001284182421,-1.30827349e-10,0,0,0,0,1,1.279999971,1.279999971,0,0
1.408082906e-13,0.1794013977,1.353369043e-06,0.000857876963,15925794,-0.001281426754,-1.284167633e-10,0,0,0,0,1,1.299999952,1.299999952,0,0
1.403584145e-13,0.1792111546,1.347616717e-06,0.0008314572042,15925794,-0.001278709853,-1.260628824e-10,-1.089178359e-21,0,0,0,1,1.320000052,1.320000052,0,0
1.399202748e-13,0.1790253371,1.342022756e-06,0.0008053726633,15925794,-0.001276060008,-1.238069647e-10,-4.058766855e-21,0,0,0,1,1.340000033,1.340000033,0,0
1.394859841e-13,0.1788409799,1.336480523e-06,0.0007793252589,15925794,-0.001273432281,-1.215775397e-10,-6.378459174e-21,0,0,0,1,1.360000014,1.360000014,0,0
1.39065422e-13,0.1786618084,1.331122462e-06,0.000753410568,15925794,-0.001270882902,-1.194426363e-10,-6.378459174e-21,0,0,0,1,1.379999995,1.379999995,0,0
1.386460255e-13,0.1784830987,1.325780204e-06,0.0007275055395,15925794,-0.001268340391,-1.173184327e-10,-6.167827405e-21,0,0,0,1,1.399999976,1.399999976,0,0
1.382419705e-13,0.1783102304,1.320643491e-06,0.0007017266471,15925794,-0.001265885774,-1.153345267e-10,-3.198238908e-21,0,0,0,1,1.419999957,1.419999957,0,0
1.378379155e-13,0.178137362,1.315506779e-06,0.0006759476382,15925794,-0.001263431273,-1.133506067e-10,-2.286327667e-22,0,0,0,1,1.440000057,1.440000057,0,0
1.37447806e-13,0.1779698282,1.310556513e-06,0.0006505487254,15925794,-0.001261056866,-1.115223747e-10,0,0,0,0,1,1.460000038,1.460000038,0,0
1.370588484e-13,0.1778027266,1.305621822e-06,0.0006251815357,15925794,-0.001258689095,-1.097071392e-10,0,0,0,0,1,1.480000019,1.480000019,0,0
1.366805974e-13,0.1776397228,1.300830036e-06,0.0006002843729,15925794,-0.001256382791,-1.079896658e-10,0,0,0,0,1,1.5,1.5,0,0
1.363054363e-13,0.1774778962,1.296079859e-06,0.0005755237071,15925794,-0.001254094415,-1.063005656e-10,0,0,0,0,1,1.519999981,1.519999981,0,0
1.35938461e-13,0.1773192286,1.291438593e-06,0.0005510735791,15925794,-0.001251853188,-1.046606482e-10,0,0,0,0,1,1.539999962,1.539999962,0,0
1.355763375e-13,0.1771624237,1.286862243e-06,0.0005268080276,15925794,-0.001249640016,-1.030499713e-10,0,0,0,0,1,1.559999943,1.559999943,0,0
1.352201906e-13,0.1770079285,1.282365361e-06,0.0005026625586,15925794,-0.00124746142,-1.01478756e-10,0,0,0,0,1,1.580000043,1.580000043,0,0
