"yPlus","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.08632001281,0.0004009729601,-0.0002966679749,-5.583895013e-10,-4.358978487e-20,0,0,0,0.2472257763,0,0
0.08632001281,0.0004009729601,-0.0002966679749,-5.583895013e-10,-4.358978487e-20,0,0,0,0.2472257763,0,1
0.08565060049,0.0003986599331,-0.0002920844126,-5.328420483e-10,-4.358984627e-20,0,0,0,0.2551187873,0,0
0.08565060049,0.0003986599331,-0.0002920844126,-5.328420483e-10,-4.358984627e-20,0,0,0,0.2551187873,0,1
0.08499141783,0.000396290241,-0.0002876058279,-5.086455146e-10,2.648074136e-20,0,0,0,0.2631992698,0,0
0.08499141783,0.000396290241,-0.0002876058279,-5.086455146e-10,2.648074136e-20,0,0,0,0.2631992698,0,1
0.0843418166,0.0003938625159,-0.0002832261089,-4.857040325e-10,2.648078498e-20,0,0,0,0.2714757323,0,0
0.0843418166,0.0003938625159,-0.0002832261089,-4.857040325e-10,2.648078498e-20,0,0,0,0.2714757323,0,1
0.08370114863,0.0003913756518,-0.0002789396385,-4.639302553e-10,0,0,0,0,0.2799572945,0,0
0.08370114863,0.0003913756518,-0.0002789396385,-4.639302553e-10,0,0,0,0,0.2799572945,0,1
0.08306884021,0.0003888283682,-0.0002747410617,-4.432438028e-10,-1.154266487e-20,0,0,0,0.2886535227,0,0
0.08306884021,0.0003888283682,-0.0002747410617,-4.432438028e-10,-1.154266487e-20,0,0,0,0.2886535227,0,1
0.08244431764,0.0003862180456,-0.0002706254891,-4.235725382e-10,-2.257422905e-20,0,0,0,0.2975746393,0,0
0.08244431764,0.0003862180456,-0.0002706254891,-4.235725382e-10,-2.257422905e-20,0,0,0,0.2975746393,0,1
0.08182704449,0.0003835420939,-0.0002665881766,-4.048504032e-10,-1.103156499e-20,0,0,0,0.3067314625,0,0
0.08182704449,0.0003835420939,-0.0002665881766,-4.048504032e-10,-1.103156499e-20,0,0,0,0.3067314625,0,1
0.08121649921,0.0003807985631,-0.0002626247588,-3.870161136e-10,-2.016216554e-20,0,0,0,0.3161355257,0,0
0.08121649921,0.0003807985631,-0.0002626247588,-3.870161136e-10,-2.016216554e-20,0,0,0,0.3161355257,0,1
0.08061219752,0.0003779850958,-0.0002587311028,-3.70014297e-10,-2.016221724e-20,0,0,0,0.3257990777,0,0
0.08061219752,0.0003779850958,-0.0002587311028,-3.70014297e-10,-2.016221724e-20,0,0,0,0.3257990777,0,1
0.08001366258,0.0003750990145,-0.0002549032506,-3.537931059e-10,0,0,0,0,0.3357351422,0,0
0.08001366258,0.0003750990145,-0.0002549032506,-3.537931059e-10,0,0,0,0,0.3357351422,0,1
0.0794204399,0.0003721373214,-0.0002511375351,-3.383048286e-10,0,0,0,0,0.3459576964,0,0
0.0794204399,0.0003721373214,-0.0002511375351,-3.383048286e-10,0,0,0,0,0.3459576964,0,1
0.07883208245,0.0003690971062,-0.0002474304056,-3.235059165e-10,0,0,0,0,0.3564815521,0,0
0.07883208245,0.0003690971062,-0.0002474304056,-3.235059165e-10,0,0,0,0,0.3564815521,0,1
0.078248173,0.0003659752256,-0.0002437785297,-3.093557632e-10,0,0,0,0,0.3673226237,0,0
